work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,line_text,x,z,caesura_word_n,word_position,enclitic,breaks_hb_schein,dices_speaker,dices_is_speech
Il.,9,189,6,ἄειδε,ἀείδω,6.5,⏑–⏑,"τῇ ὅ γε θυμὸν ἔτερπεν, ἄειδε δ’ ἄρα κλέα ἀνδρῶν.",34,-0.45950203044896,7,Neither,Non-enclitic,Yes,narrator,No
Il.,9,189,7,δ’,δέ,8.5,,"τῇ ὅ γε θυμὸν ἔτερπεν, ἄειδε δ’ ἄρα κλέα ἀνδρῶν.",531,-1.58769166408075,7,Postpositive,Non-enclitic,Yes,narrator,No
Il.,9,189,8,ἄρα,ἄρα,8.5,⏑–,"τῇ ὅ γε θυμὸν ἔτερπεν, ἄειδε δ’ ἄρα κλέα ἀνδρῶν.",5,-1.68733389487954,7,Neither,Non-enclitic,Yes,narrator,No
Il.,9,394,5,γυναῖκά,γυνή,6.5,⏑–⏑,Πηλεύς θήν μοι ἔπειτα γυναῖκά γαμέσσεται αὐτός.,75,-1.09285961030256,5,Neither,Non-enclitic,Yes,Achilles,Yes
Il.,9,394,6,γαμέσσεται,γαμέω,8.5,⏑,Πηλεύς θήν μοι ἔπειτα γυναῖκά γαμέσσεται αὐτός.,,,6,Postpositive,Enclitic,Yes,Achilles,Yes
Il.,9,482,3,πολλοῖσιν,πολύς,6.0,––⏑,"μοῦνον τηλύγετον πολλοῖσιν ἐπὶ κτεάτεσσι,",125,-0.757891209041881,4,Neither,Non-enclitic,Yes,Phoinix,Yes
Il.,9,482,4,ἐπὶ,ἐπί,8.5,⏑–,"μοῦνον τηλύγετον πολλοῖσιν ἐπὶ κτεάτεσσι,",22,-1.66231442789576,4,Prepositive,Non-enclitic,Yes,Phoinix,Yes
Il.,9,550,5,ἄρηι,Ἄρης,6.5,⏑–⏑,"ὄφρα μὲν οὖν Μελέαγρος ἄρηι φίλος πολέμιζε,",4,-1.55362733271941,6,Neither,Non-enclitic,Yes,Phoinix,Yes
Il.,9,550,6,φίλος,φίλος,8.5,⏑–,"ὄφρα μὲν οὖν Μελέαγρος ἄρηι φίλος πολέμιζε,",6,-1.44014415196584,6,Neither,Non-enclitic,Yes,Phoinix,Yes
Il.,10,96,6,οὐδὲ,οὐδέ,7.0,–⏑,"ἀλλ’ εἴ τι δραίνεις, ἐπεὶ οὐδὲ σέ γ’ ὕπνος ἱκάνει,",10,-2.42774965110951,7,Neither,Non-enclitic,Yes,Agamemnon,Yes
Il.,10,96,7,σέ,σύ,8.5,⏑,"ἀλλ’ εἴ τι δραίνεις, ἐπεὶ οὐδὲ σέ γ’ ὕπνος ἱκάνει,",158,-1.23790631704631,7,Neither,Non-enclitic,Yes,Agamemnon,Yes
Il.,10,317,6,πέντε,πέντε,7.0,–⏑,αὐτὰρ ὃ μοῦνος ἔην μετὰ πέντε κασιγνήτῃσιν.,1,-1.45469207472168,7,Neither,Non-enclitic,Yes,narrator,No
Il.,10,317,7,κασιγνήτῃσιν,κασιγνήτη,8.5,⏑––––,αὐτὰρ ὃ μοῦνος ἔην μετὰ πέντε κασιγνήτῃσιν.,1,-2.96060373844145,7,Neither,Non-enclitic,Yes,narrator,No
Il.,10,549,5,περ,περ,8.0,⏑,μιμνάζειν παρὰ νηυσὶ γέρων περ ἐὼν πολεμιστής·,10,-1.55900976499814,6,Postpositive,Enclitic,Yes,Nestor,Yes
Il.,10,549,6,ἐὼν,εἰμί,8.5,⏑–,μιμνάζειν παρὰ νηυσὶ γέρων περ ἐὼν πολεμιστής·,15,-1.97674541974092,6,Neither,Non-enclitic,Yes,Nestor,Yes
Il.,11,463,5,ἄρηι,Ἄρης,6.5,⏑–⏑,τρὶς δ’ ἄϊεν ἰάχοντος ἄρηι φίλος Μενέλαος.,4,-1.55362733271941,6,Neither,Non-enclitic,Yes,narrator,No
Il.,11,463,6,φίλος,φίλος,8.5,⏑–,τρὶς δ’ ἄϊεν ἰάχοντος ἄρηι φίλος Μενέλαος.,6,-1.44014415196584,6,Neither,Non-enclitic,Yes,narrator,No
Il.,11,686,5,ὀφείλετ’,ὀφείλω,6.5,⏑–⏑,τοὺς ἴμεν οἷσι χρεῖος ὀφείλετ’ ἐν Ἤλιδι δίῃ·,7,-0.779365389994984,6,Neither,Non-enclitic,Yes,Nestor,Yes
Il.,11,686,6,ἐν,ἐν,8.5,⏑,τοὺς ἴμεν οἷσι χρεῖος ὀφείλετ’ ἐν Ἤλιδι δίῃ·,4,-2.18464460773782,6,Prepositive,Non-enclitic,Yes,Nestor,Yes
Il.,11,698,6,ὀφείλετ’,ὀφείλω,6.5,⏑–⏑,καὶ γὰρ τῷ χρεῖος μέγ’ ὀφείλετ’ ἐν Ἤλιδι δίῃ,7,-0.779365389994984,7,Neither,Non-enclitic,Yes,Nestor,Yes
Il.,11,698,7,ἐν,ἐν,8.5,⏑,καὶ γὰρ τῷ χρεῖος μέγ’ ὀφείλετ’ ἐν Ἤλιδι δίῃ,4,-2.18464460773782,7,Prepositive,Non-enclitic,Yes,Nestor,Yes
Il.,15,585,6,περ,περ,8.0,⏑,"Ἀντίλοχος δ’ οὐ μεῖνε θοός περ ἐὼν πολεμιστής,",10,-1.55900976499814,7,Postpositive,Enclitic,Yes,narrator,No
Il.,15,585,7,ἐὼν,εἰμί,8.5,⏑–,"Ἀντίλοχος δ’ οὐ μεῖνε θοός περ ἐὼν πολεμιστής,",15,-1.97674541974092,7,Neither,Non-enclitic,Yes,narrator,No
Il.,16,143,4,πατρὶ,πατήρ,7.0,–⏑,"Πηλιάδα μελίην, τὴν πατρὶ φίλῳ πόρε Χείρων",2,-1.49843147160315,5,Neither,Non-enclitic,Yes,narrator,No
Il.,16,143,5,φίλῳ,φίλος,8.5,⏑–,"Πηλιάδα μελίην, τὴν πατρὶ φίλῳ πόρε Χείρων",6,-1.44014415196584,5,Neither,Non-enclitic,Yes,narrator,No
Il.,16,347,5,δ’,δέ,8.5,,"νέρθεν ὑπ’ ἐγκεφάλοιο, κέασσε δ’ ἄρ’ ὀστέα λευκά·",531,-1.58769166408075,5,Postpositive,Non-enclitic,Yes,narrator,No
Il.,16,347,6,ἄρ’,αἴρω,8.5,⏑,"νέρθεν ὑπ’ ἐγκεφάλοιο, κέασσε δ’ ἄρ’ ὀστέα λευκά·",18,-1.63826083360584,5,Neither,Non-enclitic,Yes,narrator,No
Il.,16,627,6,ἐσθλὸς,ἐσθλός,7.0,–⏑,‘Μηριόνη τί σὺ ταῦτα καὶ ἐσθλὸς ἐὼν ἀγορεύεις;,11,-2.10663990675583,7,Neither,Non-enclitic,Yes,Patroclus,Yes
Il.,16,627,7,ἐὼν,εἰμί,8.5,⏑–,‘Μηριόνη τί σὺ ταῦτα καὶ ἐσθλὸς ἐὼν ἀγορεύεις;,15,-1.97674541974092,7,Neither,Non-enclitic,Yes,Patroclus,Yes
Il.,17,406,4,οὐδὲ,οὐδέ,7.0,–⏑,"ἂψ ἀπονοστήσειν, ἐπεὶ οὐδὲ τὸ ἔλπετο πάμπαν",10,-2.42774965110951,5,Neither,Non-enclitic,Yes,narrator,No
Il.,17,406,5,τὸ,ὁ,8.5,⏑,"ἂψ ἀπονοστήσειν, ἐπεὶ οὐδὲ τὸ ἔλπετο πάμπαν",261,-1.11112208372476,5,Neither,Non-enclitic,Yes,narrator,No
Il.,17,719,4,τε,τε,8.0,⏑,νῶϊ μαχησόμεθα Τρωσίν τε καὶ Ἕκτορι δίῳ,324,-0.990535138544289,5,Postpositive,Enclitic,Yes,Aias (son of Telamon),Yes
Il.,17,719,5,καὶ,καί,8.5,⏑,νῶϊ μαχησόμεθα Τρωσίν τε καὶ Ἕκτορι δίῳ,4,-1.59215714005528,5,Prepositive,Non-enclitic,Yes,Aias (son of Telamon),Yes
Il.,19,82,6,περ,περ,8.0,⏑,ἢ εἴποι; βλάβεται δὲ λιγύς περ ἐὼν ἀγορητής.,10,-1.55900976499814,7,Postpositive,Enclitic,Yes,Agamemnon,Yes
Il.,19,82,7,ἐὼν,εἰμί,8.5,⏑–,ἢ εἴποι; βλάβεται δὲ λιγύς περ ἐὼν ἀγορητής.,15,-1.97674541974092,7,Neither,Non-enclitic,Yes,Agamemnon,Yes
Il.,19,390,4,πατρὶ,πατήρ,7.0,–⏑,"Πηλιάδα μελίην, τὴν πατρὶ φίλῳ πόρε Χείρων",2,-1.49843147160315,5,Neither,Non-enclitic,Yes,narrator,No
Il.,19,390,5,φίλῳ,φίλος,8.5,⏑–,"Πηλιάδα μελίην, τὴν πατρὶ φίλῳ πόρε Χείρων",6,-1.44014415196584,5,Neither,Non-enclitic,Yes,narrator,No
Il.,20,444,6,ἐκάλυψε,καλύπτω,6.0,⏑⏑–⏑,"ῥεῖα μάλ’ ὥς τε θεός, ἐκάλυψε δ’ ἄρ’ ἠέρι πολλῇ.",27,-0.712095423590022,7,Neither,Non-enclitic,Yes,narrator,No
Il.,20,444,7,δ’,δέ,8.5,,"ῥεῖα μάλ’ ὥς τε θεός, ἐκάλυψε δ’ ἄρ’ ἠέρι πολλῇ.",531,-1.58769166408075,7,Postpositive,Non-enclitic,Yes,narrator,No
Il.,20,444,8,ἄρ’,αἴρω,8.5,⏑,"ῥεῖα μάλ’ ὥς τε θεός, ἐκάλυψε δ’ ἄρ’ ἠέρι πολλῇ.",18,-1.63826083360584,7,Neither,Non-enclitic,Yes,narrator,No
Il.,21,549,3,κεκάλυπτο,καλύπτω,6.0,⏑⏑–⏑,φηγῷ κεκλιμένος· κεκάλυπτο δ’ ἄρ’ ἠέρι πολλῇ.,27,-0.712095423590022,4,Neither,Non-enclitic,Yes,narrator,No
Il.,21,549,4,δ’,δέ,8.5,,φηγῷ κεκλιμένος· κεκάλυπτο δ’ ἄρ’ ἠέρι πολλῇ.,531,-1.58769166408075,4,Postpositive,Non-enclitic,Yes,narrator,No
Il.,21,549,5,ἄρ’,αἴρω,8.5,⏑,φηγῷ κεκλιμένος· κεκάλυπτο δ’ ἄρ’ ἠέρι πολλῇ.,18,-1.63826083360584,4,Neither,Non-enclitic,Yes,narrator,No
Il.,21,575,5,κεν,ἄν,8.0,⏑,"ταρβεῖ οὐδὲ φοβεῖται, ἐπεί κεν ὑλαγμὸν ἀκούσῃ·",22,-1.65598509672149,6,Neither,Enclitic,Yes,narrator,No
Il.,21,575,6,ὑλαγμὸν,ὑλαγμός,8.5,⏑–⏑,"ταρβεῖ οὐδὲ φοβεῖται, ἐπεί κεν ὑλαγμὸν ἀκούσῃ·",1,,6,Neither,Non-enclitic,Yes,narrator,No
Il.,21,597,5,δ’,δέ,8.5,,"ἀλλά μιν ἐξήρπαξε, κάλυψε δ’ ἄρ’ ἠέρι πολλῇ,",531,-1.58769166408075,5,Postpositive,Non-enclitic,Yes,narrator,No
Il.,21,597,6,ἄρ’,αἴρω,8.5,⏑,"ἀλλά μιν ἐξήρπαξε, κάλυψε δ’ ἄρ’ ἠέρι πολλῇ,",18,-1.63826083360584,5,Neither,Non-enclitic,Yes,narrator,No
Il.,22,509,5,κε,ἄν,8.0,⏑,"αἰόλαι εὐλαὶ ἔδονται, ἐπεί κε κύνες κορέσωνται",22,-1.65598509672149,6,Neither,Enclitic,Yes,Andromache,Yes
Il.,22,509,6,κύνες,κύων,8.5,⏑–,"αἰόλαι εὐλαὶ ἔδονται, ἐπεί κε κύνες κορέσωνται",2,-1.86737613215433,6,Neither,Non-enclitic,Yes,Andromache,Yes
Il.,23,76,5,με,ἐγώ,8.0,⏑,"νίσομαι ἐξ Ἀΐδαο, ἐπήν με πυρὸς λελάχητε.",65,-1.31068487030196,6,Neither,Enclitic,Yes,Patroclus,Yes
Il.,23,76,6,πυρὸς,πῦρ,8.5,⏑–,"νίσομαι ἐξ Ἀΐδαο, ἐπήν με πυρὸς λελάχητε.",2,-1.92794362730759,6,Neither,Non-enclitic,Yes,Patroclus,Yes
Il.,23,306,6,περ,περ,8.0,⏑,‘Ἀντίλοχ’ ἤτοι μέν σε νέον περ ἐόντ’ ἐφίλησαν,10,-1.55900976499814,7,Postpositive,Enclitic,Yes,Nestor,Yes
Il.,23,306,7,ἐόντ’,εἰμί,8.5,⏑–,‘Ἀντίλοχ’ ἤτοι μέν σε νέον περ ἐόντ’ ἐφίλησαν,15,-1.97674541974092,7,Neither,Non-enclitic,Yes,Nestor,Yes
Il.,23,587,5,ἔγωγε,ἐγώ,6.5,⏑–⏑,‘ἄνσχεο νῦν· πολλὸν γὰρ ἔγωγε νεώτερός εἰμι,427,-0.141795253001913,6,Neither,Non-enclitic,Yes,Antilochus,Yes
Il.,23,587,6,νεώτερός,νεώτερος,8.5,⏑–⏑⏑,‘ἄνσχεο νῦν· πολλὸν γὰρ ἔγωγε νεώτερός εἰμι,1,-2.22287572090485,6,Neither,Non-enclitic,Yes,Antilochus,Yes
Il.,23,760,7,γυναικὸς,γυνή,6.5,⏑–⏑,"ἄγχι μάλ’, ὡς ὅτε τίς τε γυναικὸς ἐϋζώνοιο",75,-1.09285961030256,8,Neither,Non-enclitic,Yes,narrator,No
Il.,23,760,8,ἐϋζώνοιο,εὔζωνος,8.5,⏑––––,"ἄγχι μάλ’, ὡς ὅτε τίς τε γυναικὸς ἐϋζώνοιο",1,-1.52498570332605,8,Neither,Non-enclitic,Yes,narrator,No
Il.,24,35,6,περ,περ,8.0,⏑,τὸν νῦν οὐκ ἔτλητε νέκυν περ ἐόντα σαῶσαι,10,-1.55900976499814,7,Postpositive,Enclitic,Yes,Apollo,Yes
Il.,24,35,7,ἐόντα,εἰμί,8.5,⏑–⏑,τὸν νῦν οὐκ ἔτλητε νέκυν περ ἐόντα σαῶσαι,15,-1.97674541974092,7,Neither,Non-enclitic,Yes,Apollo,Yes
Il.,24,60,6,ἀνδρὶ,ἀνήρ,7.0,–⏑,θρέψά τε καὶ ἀτίτηλα καὶ ἀνδρὶ πόρον παράκοιτιν,263,-0.11966438255275,7,Neither,Non-enclitic,Yes,Hera,Yes
Il.,24,60,7,πόρον,πόρος,8.5,⏑–,θρέψά τε καὶ ἀτίτηλα καὶ ἀνδρὶ πόρον παράκοιτιν,1,-1.51995477887763,7,Neither,Non-enclitic,Yes,Hera,Yes
Il.,24,753,7,λῆμνον,λῆμνος,7.0,–⏑,ἐς Σάμον ἔς τ’ Ἴμβρον καὶ Λῆμνον ἀμιχθαλόεσσαν·,3,-1.61515615001856,8,Neither,Non-enclitic,Yes,Hecuba,Yes
Il.,24,753,8,ἀμιχθαλόεσσαν,ἀμιχθαλόεις,8.5,⏑–⏑⏑––,ἐς Σάμον ἔς τ’ Ἴμβρον καὶ Λῆμνον ἀμιχθαλόεσσαν·,2,,8,Neither,Non-enclitic,Yes,Hecuba,Yes
Od.,1,241,5,ἅρπυιαι,Ἅρπυιαι,6.0,––⏑,νῦν δέ μιν ἀκλειῶς ἅρπυιαι ἀνηρείψαντο·,3,0.894427190999916,6,Neither,Non-enclitic,Yes,Telemachus,Yes
Od.,1,241,6,ἀνηρείψαντο,ἀνερείπομαι,8.5,⏑––––,νῦν δέ μιν ἀκλειῶς ἅρπυιαι ἀνηρείψαντο·,3,-0.912870929175277,6,Neither,Non-enclitic,Yes,Telemachus,Yes
Od.,1,390,6,γε,γε,8.0,⏑,καὶ κεν τοῦτ’ ἐθέλοιμι Διός γε διδόντος ἀρέσθαι.,59,-0.990039675385608,7,Postpositive,Enclitic,Yes,Telemachus,Yes
Od.,1,390,7,διδόντος,δίδωμι,8.5,⏑–⏑,καὶ κεν τοῦτ’ ἐθέλοιμι Διός γε διδόντος ἀρέσθαι.,1,-1.60366695608203,7,Neither,Non-enclitic,Yes,Telemachus,Yes
Od.,4,526,4,φύλασσε,φυλάσσω,6.5,⏑–⏑,"χρυσοῦ δοιὰ τάλαντα· φύλασσε δ’ ὅ γ’ εἰς ἐνιαυτόν,",37,-0.0945893548344926,5,Neither,Non-enclitic,Yes,Menelaus>Proteus,Yes
Od.,4,526,5,δ’,δέ,8.5,,"χρυσοῦ δοιὰ τάλαντα· φύλασσε δ’ ὅ γ’ εἰς ἐνιαυτόν,",531,-1.58769166408075,5,Postpositive,Non-enclitic,Yes,Menelaus>Proteus,Yes
Od.,4,526,6,ὅ,ὁ,8.5,⏑,"χρυσοῦ δοιὰ τάλαντα· φύλασσε δ’ ὅ γ’ εἰς ἐνιαυτόν,",261,-1.11112208372476,5,Neither,Non-enclitic,Yes,Menelaus>Proteus,Yes
Od.,4,684,4,ἄλλοθ’,ἄλλοθι,7.0,–⏑,μὴ μνηστεύσαντες μηδ’ ἄλλοθ’ ὁμιλήσαντες,2,-1,5,Neither,Non-enclitic,Yes,Penelope,Yes
Od.,4,684,5,ὁμιλήσαντες,ὁμιλέω,8.5,⏑––––,μὴ μνηστεύσαντες μηδ’ ἄλλοθ’ ὁμιλήσαντες,1,-1.73903420056449,5,Neither,Non-enclitic,Yes,Penelope,Yes
Od.,5,272,5,ὀψὲ,ὀψέ,7.0,–⏑,Πληιάδας τ’ ἐσορῶντι καὶ ὀψὲ δύοντα Βοώτην,4,-2.02577213905757,6,Neither,Non-enclitic,Yes,narrator,No
Od.,5,272,6,δύοντα,δύω,8.5,⏑–⏑,Πληιάδας τ’ ἐσορῶντι καὶ ὀψὲ δύοντα Βοώτην,1,-1.74230032876923,6,Neither,Non-enclitic,Yes,narrator,No
Od.,5,400,6,τε,τε,8.0,⏑,"ἀλλ’ ὅτε τόσσον ἀπῆν ὅσσον τε γέγωνε βοήσας,",324,-0.990535138544289,7,Postpositive,Enclitic,Yes,narrator,No
